Ticker,Max Profit,Average Price,Sharpe Ratio
MMM,12.628967,92.54560572306315,3.453465827482756
AOS,2.7699966,86.15200017293294,-1.3251217793450594
ABT,2.3300018,108.85599924723307,-2.568052988143667
ABBV,7.869995,168.15066630045573,-3.2294819938625707
ACN,12.0,319.64966735839846,-3.6542658435662165
ADBE,30.76001,483.01133219401044,-1.445400407798784
AMD,13.559998,162.39200032552083,-2.1653925633191045
AES,3.0200005,17.547999890645347,3.17443113092165
AFL,5.090004,83.5380002339681,-0.14623851014925696
A,8.830002,140.45266621907552,-0.7158299075385552
APD,20.89,237.56966705322264,2.2458184759627824
ABNB,9.220001,160.68000030517578,-1.4406402082147556
AKAM,2.0,103.63133290608724,-3.2691366654760086
ALB,19.75,122.57966740926106,1.7894602362078273
ARE,7.090004,121.05966746012369,-0.9974145078175607
ALGN,20.140015,308.1480000813802,-2.778298556578189
ALLE,3.8199997,127.7553337097168,-3.379587408008071
LNT,3.7299995,49.53000005086263,2.597660888897683
ALL,12.4900055,170.2086664835612,-0.6107111250132706
GOOGL,21.419998,158.25499928792317,3.0938572452010487
GOOG,21.990005,159.79366709391277,3.2459234423955072
MO,3.2299995,42.59699986775716,0.9624677260152711
AMZN,15.089996,181.72366739908855,1.97070531004514
AMCR,1.29,9.248666604359945,2.5685959398778913
AEE,4.9100037,73.31233317057291,2.1269321031543336
AAL,1.71,14.050666586558025,-0.7491854322492458
AEP,10.360001,84.89300003051758,3.506299794307417
AXP,21.619995,227.43866678873698,1.5462162894101523
AIG,7.699997,76.08666610717773,1.6344996247041308
AMT,10.7400055,181.38900044759114,-2.0489464234094235
AWK,18.000008,120.80633316040038,4.555616690735312
AMP,17.269989,421.80800272623696,-0.7387538827248805
AME,6.2400055,177.67433268229166,-2.6909361433563723
AMGN,48.54001,275.6420033772786,1.5050318206279203
APH,14.620003,116.30833307902019,4.032377468095687
ADI,20.539993,195.25499979654947,2.185643285517514
ANSS,11.640015,333.1539998372396,-3.946492051284325
AON,8.380005,307.5173329671224,-4.4960802898374865
APA,2.8600006,32.95466702779134,-2.4949594444645546
AAPL,18.380005,171.1873331705729,2.284723073950026
AMAT,19.399994,203.29066721598306,0.1813118899321666
APTV,15.080002,74.79399998982747,1.6250033259327588
ACGL,8.449997,92.72133382161458,2.860917950781747
ADM,3.2200012,61.567666625976564,-0.13509080263846443
ANET,33.350006,274.46766764322916,-1.3986057725745167
AJG,14.5,239.5836664835612,-0.313274053159574
AIZ,10.410004,177.64600118001303,-1.1527717599046863
T,0.9899998,16.878999964396158,-0.32643380199442745
ATO,8.0099945,116.94466654459636,2.3946067729194422
ADSK,7.299988,230.63700052897136,-5.917277268130447
ADP,8.519989,244.9633341471354,-0.023982923991610377
AZO,95.27002,3020.4510009765627,-3.7423174908398726
AVB,16.910004,186.15566660563152,3.6863321548160957
AVY,14.979996,217.04066721598306,1.0754128909809544
AXON,34.03003,309.6979990641276,-0.5963039259610503
BKR,1.4799995,32.984999910990396,-1.0321000071775381
BALL,6.950001,66.80966593424479,1.4912757635209548
BAC,3.6899986,37.10199991861979,0.7775749518260853
BK,3.9500008,56.5853333791097,0.6737476071587704
BBWI,4.1900024,45.947000122070314,-0.2853967206633161
BAX,2.0099983,40.67433344523112,-3.574229660635022
BDX,9.87001,237.9290003458659,-0.8580413329176018
BBY,3.550003,77.1346669514974,-3.268349839020226
BIO,16.650024,302.3443318684896,-5.037624787399635
TECH,15.34,67.7900001525879,2.178959865260178
BIIB,30.899994,206.1450002034505,1.05938460395762
BLK,33.619995,779.8273376464844,-2.262591798053471
BX,5.989998,124.02599970499675,-1.39172364800419
BA,15.459991,176.38966725667316,-1.7660188226238756
BKNG,190.58984,3540.2999755859373,-0.5611847459665839
BWA,5.079998,34.12966690063477,2.347631279239336
BXP,4.989998,61.47866655985514,0.06384168871367354
BSX,6.0999985,69.66700007120768,3.3391732374848955
BMY,1.6800003,48.59499994913737,-5.062391911676416
AVGO,139.35999,1305.6919881184897,-0.3466265133410753
BR,8.650009,198.52299957275392,-0.12984996826688378
BRO,4.619995,83.48666636149089,-0.8801645011434253
BLDR,23.850006,191.22733408610026,-2.872766203259698
BG,9.889999,104.485999806722,1.7354226519812985
CDNS,10.640015,295.04566548665366,-4.124690355964868
CZR,2.1399994,39.73133341471354,-3.471531369974544
CPT,10.939995,98.8236676534017,3.0499254571722347
CPB,3.579998,44.27699979146322,1.6196388789933285
COF,12.459991,143.1326670328776,0.47679120962362737
CAH,3.090004,106.24366683959961,-4.427644431926556
KMX,2.7200012,74.50366694132487,-4.9139357421150205
CCL,1.2800007,15.0006667137146,-4.658351645264314
CARR,10.880001,57.832333119710285,2.772065062383105
CTLT,1.0499992,56.3033327738444,0.33176615030429135
CAT,22.909973,357.70533345540366,-0.7902835317885003
CBOE,10.130005,179.8473322550456,1.364660358070833
CBRE,3.040001,89.99066645304362,-4.240997841354748
CDW,10.2400055,241.98866577148436,-3.151315974497132
CE,9.119995,160.09399973551433,-0.7061079750295964
COR,6.880005,237.40833384195963,-3.4285864770222516
CNC,5.459999,74.17533365885417,-0.5957678420137044
CNP,2.380001,28.436666679382324,3.721233967444863
CF,4.3700027,79.7870002746582,-2.3297848680679056
CHRW,13.309998,72.58799997965495,1.9172576788850015
CRL,13.350006,243.23566741943358,-3.3427769813127783
SCHW,6.830002,73.17233327229818,3.255502777692635
CHTR,16.86,267.7740005493164,-2.438544819309458
CVX,11.059998,160.60900166829427,2.63548519361192
CMG,353.43994,2992.534326171875,2.8192918226119503
